RegionType,RegionName,City,State,Metro,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Akron,Akron,OH,"Akron, OH",125,1.3834641357912,62.2,9.226,8.9652,66100,1.22511485451761,5.08744038155803,0.030665658093797,,0.209685125542797,0.051360352196196,75.5
City,Rockford,Rockford,IL,"Rockford, IL",126,0.855083044351159,,,,80000,0.125156445556946,2.82776349614396,0.0334625,,0.227169155811623,0.054882110813561,78
City,Salinas,Salinas,CA,"Salinas, CA",127,5.64427815294762,96.55,8.0732,1.0007,433200,0.092421441774492,5.73590432023432,0.023296398891967,,0.069433803436849,0.03449925451825,69
City,Worcester,Worcester,MA,"Worcester, MA",128,2.2047818945063,85.42,,11.4738,218300,0.552740672501152,5.66311713455953,0.038066880439762,,0.139789239214813,0.085946263156948,73
City,Moreno Valley,Moreno Valley,CA,"Riverside, CA",129,5.14966234714364,94.52,8.8081,2.7336,298100,0.47185709470846,5.22414401694317,0.047239181482724,,0.113848034456525,0.03703902185634,64
City,Little Rock,Little Rock,AR,"Little Rock, AR",130,4.01989414126665,85.04,7.3025,1.7393,133100,0.377073906485671,2.14888718342287,0.027077385424493,,0.111670409264721,0.043986370291274,92
City,Port Saint Lucie,Port Saint Lucie,FL,"Port St. Lucie, FL",131,7.30151487497719,86.36,,,198800,0.353356890459364,7.63400108283703,0.037585513078471,,0.071328932282443,0.079014793771228,90
City,Providence,Providence,RI,"Providence, RI",133,3.78901259353897,78,4.6259,9.8382,179000,0.901916572717024,8.94704808277541,0.043972067039106,,0.191138403956761,0.061747268380254,86
City,Amarillo,Amarillo,TX,"Amarillo, TX",134,1.55594086512137,50,,,116300,0,1.1304347826087,0.032158211521926,,,,71.5
City,Lancaster,Lancaster,CA,"Los Angeles-Long Beach-Anaheim, CA",135,3.92681146194561,87.33,8.6578,2.0641,254700,0.991276764472641,13.4521158129176,0.028610129564193,,0.140278456829789,0.045454437702544,60
City,Fort Collins,Fort Collins,CO,"Fort Collins, CO",136,8.12922066070451,97.8,1.3856,,358700,0.195530726256983,6.28148148148148,0.021067744633398,,0.062302616960668,0.004404893016258,54
City,Shreveport,Shreveport,LA,"Shreveport, LA",137,2.19383099105676,76.19,,,101900,0,3.55691056910569,0.025603532875368,,0.122340808168854,0.055502219653494,101
City,Evansville,Evansville,IN,"Evansville, IN",138,1.06680051104216,,,,108200,-0.092336103416436,3.63984674329502,0.027402957486137,,0.127175322493691,0.037384319245886,67
City,Yonkers,Yonkers,NY,"New York, NY",139,3.50337652856361,75,,,450500,0.445930880713489,8.58038081465413,0.03211320754717,,0.092634363482229,0.109220817656569,122
City,Hayward,Hayward,CA,"San Francisco, CA",140,8.47599926993977,100,4.7661,0.6503,604800,0.783202799533411,10.7489470792895,0.017999338624339,,0.048097820241891,0.020923663963941,46
City,Fort Lauderdale,Fort Lauderdale,FL,"Miami-Fort Lauderdale, FL",141,3.65030114984486,80.77,,,290500,0.519031141868512,6.02189781021898,0.01297074010327,,0.098307726719573,0.070108930651175,145.5
City,Chattanooga,Chattanooga,TN,"Chattanooga, TN",142,7.42288738820953,86.55,,,140300,0.717875089734386,9.69507427677873,0.045573770491803,,0.103292187195329,0.014449939788357,65.5
